Id,Name,Category,Location,Opening_hours,Holidays,I_Adult,I_Children,I_Photography,F_Adult,F_Children,F_Photography,Students Entry Fee,Required Time,"(latitude,longitude)",Description
1,National Gallery of Modern Art,Arts,Delhi,10:00 AM - 5:00 PM,Monday and public holidays,20,Free,Prohibited,500,Free,Prohibited,Free,3 hours,"(28.611799,77.219299)","The National Gallery of Modern Art is a premier art museum located in New Delhi, India. Established in 1954, it is one of the largest and most visited modern art museums in the country. The gallery's collection features over 20,000 works of modern and contemporary Indian art, including paintings, sculptures, and other art forms. It also hosts temporary exhibitions, workshops, and educational programs, making it a hub for art enthusiasts and scholars alike. The gallery's collection spans from the early 20th century to the present day, showcasing the evolution of modern Indian art."
2,Academy of Fine Arts,Arts,Kolkata,10:00 AM - 05:00 PM ,Opens Daily,Free,Free,Free,Free,Free,Free,Free,2 hours,"(22.5455,88.3473)","The Academy of Fine Arts is a prestigious institution that focuses on providing comprehensive training in various fine arts disciplines. These may include painting, sculpture, photography, printmaking, and other visual arts. Many Academy of Fine Arts programs emphasize studio work, theory, and art history. The goal of these programs is to equip students with the skills and knowledge necessary to become successful artists, curators, or art administrators. Many Academy of Fine Arts graduates go on to establish successful careers in the art world, exhibiting their work in galleries and museums around the world."
3,Birla Academy of Fine Art and Culture,Arts,Kolkata,3:00 PM - 8:00 PM,Monday and public holidays,20,Free,Free,20,Free,Free,Free,3 hours,"(22.5225,88.3639)","The Birla Academy of Art and Culture is a premier cultural institution located in Kolkata, India. Founded in 1966 by B.K. Birla, it is a non-profit organization dedicated to promoting arts, literature, and culture. The academy offers a range of programs and activities, including art exhibitions, concerts, and literary events. It also has a museum showcasing a collection of Indian art and artifacts. The academy's primary objective is to foster a deeper appreciation and understanding of Indian art and culture, both nationally and internationally. It is considered a hub for cultural enthusiasts and art lovers in India."
4,Sri Chitra Art Gallery,Arts,Thiruvananthapuram,10:00 AM - 5:00 PM,Monday and public holidays,20,5,Free,20,5,Free,Free,2 hours,"(8.5074,76.9565)","The Sri Chitra Art Gallery is a renowned art gallery located in Trivandrum, Kerala, India. Established in 1935, it is one of the largest and most visited art galleries in India. The gallery showcases an extensive collection of Indian art, including paintings, sketches, and sculptures from the 14th to the 20th centuries. It also features works by prominent Indian artists, such as Raja Ravi Varma, Rabindranath Tagore, and Jamini Roy. With over 400 paintings on display, the gallery provides a unique opportunity to explore the rich cultural heritage of India through its art."
5,Salar Jung Museum,"Arts,Historical Museums, Museum-house",Hyderabad,10:00 AM - 5:00 PM,Friday and public holidays,50,20,50,500,20,50,Free,3 hours,"(17.3714,78.4803)","The Salar Jung Museum is one of the largest and most renowned museums in India. It is known for its extensive collection of art, antiques, and artifacts from various parts of the world. The museum's collection spans centuries of history, with significant items from European, Asian, and Middle Eastern cultures. It includes sculptures, textiles, manuscripts, weapons, and much more. The museum is a treasure trove of cultural history and is particularly famous for its collection of Persian carpets, Mughal miniatures, and European clocks. Students and researchers of art history, archaeology, and cultural studies find the museum an invaluable resource for understanding diverse global art forms and historical connections."
6,Kerala Folklore Museum,Arts,Kochi,9:00 AM - 6:00 PM,Opens Daily,100,50,Free,100,50,Free,Free,2 hours,"(9.9312,76.2673)","The Kerala Folklore Museum is a museum located in Kochi, Kerala, India. It was established in 1990 and is dedicated to preserving and showcasing the traditional art, culture, and folklore of Kerala. The museum features a collection of over 7,000 artifacts, including sculptures, paintings, and folk art objects. It also hosts cultural events and workshops to promote the preservation and appreciation of Kerala's rich cultural heritage. The museum is a popular tourist destination and a valuable resource for researchers and scholars interested in Kerala's folklore and cultural traditions."
7,Gandhi Smriti,Historical Museums,New Delhi,10:00 AM - 5:00 PM,Monday and public holidays,Free,Free,Free,Free,Free,Free,Free,2 hours,"(28.6015,77.2131)","Gandhi Smriti is a national memorial located in New Delhi, India. It is dedicated to the life and philosophy of Mahatma Gandhi, a prominent Indian independence activist. The memorial is situated in the Birla House, where Gandhi was assassinated on January 30, 1948. The complex houses a museum, a library, and a prayer hall, among other attractions. Gandhi Smriti is a significant tourist destination and a place of great historical and cultural importance in India, offering a glimpse into the life and legacy of Mahatma Gandhi. It is maintained by the Indian government."
8,Victoria Memorial Hall,"Historical Museums, Museum-house",Kolkata,10:00 AM - 6:00 PM ,Monday and public holidays,50,Free,200,500,Free,200,Free,3 hours,"(22.5448,88.3426)","The Victoria Memorial Hall is an iconic landmark and museum in Kolkata, dedicated to the memory of Queen Victoria. It stands as a monumental piece of British colonial architecture and houses a vast collection of artifacts related to the British Empire's impact on India. The museum focuses on showcasing artworks, sculptures, and historical relics from the colonial era, as well as highlighting Queen Victoria's legacy and the history of British rule in India. The museum also includes exhibits on Indian art and culture during the British period, offering a blend of history, art, and colonial heritage. This institution is a major resource for art students, historians, and anyone interested in the complex history of colonial India."
9,Partition Museum,Historical Museums,"Amritsar, Punjab",10:00 AM - 6:00 PM ,Monday and public holidays,10,Free,Free,250,Free,Free,Free,2 hours,"(31.6200,74.8765)","The Partition Museum is a museum located in Amritsar, India, that commemorates the partition of India and Pakistan in 1947. The museum was opened in 2017 and is housed in a 19th-century prison building that was once used to detain people during the partition. The museum showcases the personal stories and experiences of those who were affected by the partition, through artifacts, photographs, and interactive exhibits. It also aims to provide a platform for people to reflect on the past and work towards a more peaceful and tolerant future. The museum is a significant cultural and historical landmark in India."
10,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya (formerly Prince of Wales Museum),Historical Museums,"Mumbai, Maharashtra",10:15 AM - 6:00 PM,Public holidays,150,35,200,700,200,200,35,3 hours,"(18.9274,72.8321)","The Chhatrapati Shivaji Maharaj Vastu Sangrahalaya (CSMVS) is a museum located in Mumbai, India. It was originally established in 1905 as the Prince of Wales Museum, named after the then-Prince of Wales, who later became King Edward VIII. The museum is housed in a stunning neoclassical building designed by George Wittet. It features a diverse collection of over 50,000 artifacts, including Indian art, sculpture, and cultural exhibits. The museum has undergone significant renovations and is now named after the legendary Maratha leader Chhatrapati Shivaji Maharaj, in honor of his rich history and cultural heritage."
11,Indian Museum,"Historical Museums, Archeology Museum",Kolkata,10:00 AM - 6:00 PM ,Monday and public holidays,75,20,"50,100",500,500,"50,100",Free,3 hours,"(22.5581,88.3508)","The Indian Museum, located in Kolkata, India, is one of the oldest and largest museums in South Asia. Founded in 1814, it was established by the Asiatic Society of Bengal. The museum houses a vast collection of artifacts, artworks, and relics that span over 5,000 years of Indian history and culture. Its collection includes Indian sculptures, Mughal art, and ancient coins. The museum's vast repository also includes a dinosaur fossil and an Egyptian mummy, showcasing the country's rich cultural and historical heritage. It is a must-visit destination for anyone interested in Indian history and art."
12,National Museum,"Historical Museums, Archeology Museum",New Delhi,10:00 AM - 6:00 PM ,Monday and public holidays,20,Free,50,650,Free,50,Free,3 hours,"(28.6118,77.2193)","The National Museum is a museum that showcases the history, art, and culture of a particular country or region. There are many National Museums around the world, each with its own unique collection and exhibits. The Smithsonian National Museum in Washington D.C., for example, is one of the largest and most visited museums in the world, with a collection of over 154 million objects, artworks, and specimens. National Museums often serve as a repository for a nation's cultural and historical heritage, providing a platform for education, research, and community engagement."
13,City Palace Museum,Historical Museums,Rajasthan,9:30 AM - 5:30 PM,Opens Daily,250,100,200,250,100,200,100,3 hours,"(24.5764,73.6835)","The City Palace Museum in Jaipur is a living testament to the grandeur of Rajasthan's royal past. The museum is housed in the City Palace, which was the seat of the Maharaja of Jaipur. It showcases a fascinating collection of royal artifacts, including paintings, textiles, weapons, and manuscripts that highlight the rich cultural and architectural heritage of Rajasthan. The museum also provides insight into the lifestyle, art, and history of the Rajput kings. The collection includes miniature paintings, royal costumes, and ceremonial objects that are vital for understanding the region’s artistic traditions and royal history."
14,Jaisalmer War Museum,Historical Museums,Rajasthan,10:00 AM - 6:00 PM ,Opens Daily,55,Free,Free,55,Free,Free,Free,2 hours,"(26.9157,70.9083)","The Jaisalmer War Museum is a museum located in Jaisalmer, Rajasthan, India. It was established in 2015 to commemorate the contributions of the Indian Armed Forces, particularly the Desert Corps, in various wars and military operations. The museum showcases a collection of tanks, artillery, and other military equipment, as well as a gallery of photographs and memorabilia. It also has a museum gallery that features a collection of uniforms, medals, and other military artifacts. The museum aims to provide a glimpse into the history of the Indian Armed Forces and their sacrifices."
15,Tribal Museum,Historical Museums,Bhopal,12:00 PM - 8:00 PM,Monday and public holidays,10,Free,Free,100,Free,Free,Free,3 hours,"(23.2599,77.4126)","The Tribal Museum in Bhopal is dedicated to preserving the cultural heritage of the tribal communities of Madhya Pradesh. The museum offers a unique insight into the lives, traditions, and art of the various tribal groups in the region. It features a wide array of tribal artifacts, including clothing, jewelry, tools, and religious objects, providing a detailed picture of the everyday life and artistic expressions of these communities. The museum also includes exhibits on tribal architecture, music, and dances, making it an essential destination for anthropology and cultural studies students."
16,Heritage Transport Museum,Historical Museums,Haryana,10:00 AM - 7:00 PM,Monday and public holidays,300,150,Free,500,300,Free,200,3 hours,"(28.2038,76.8120)","The Heritage Transport Museum is a popular museum located in Panchkula, Haryana, India. It was established in 2003 and is dedicated to showcasing the history and evolution of transportation in India. The museum features a vast collection of vintage cars, buses, trams, and other vehicles, along with interactive exhibits and display galleries. Visitors can see a replica of a 19th-century carriage, a vintage motorcycle, and a collection of rare and historic cars. The museum also offers a unique glimpse into India's transportation history, making it a must-visit destination for history buffs and automobile enthusiasts."
17,DakshinaChitra Museum,Historical Museums,Tamil Nadu,10:00 AM - 6:00 PM ,Tuesday and Diwali,120,60,Free,250,70,Free,50,3 hours,"(12.7904,80.2518)","DakshinaChitra Museum is a living history museum located in Chennai, India. It showcases the art, culture, and way of life of the people of South India, specifically the states of Tamil Nadu, Kerala, and Karnataka. The museum is spread over 10 acres and features 18 traditional houses from different parts of South India, which have been reconstructed on the site. Visitors can explore these houses and experience the daily life of people from different regions, see traditional crafts and arts, and enjoy performances like dance and music. It's a unique blend of history, culture, and entertainment."
